"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202411","3호선","충무로","0","0","0","0","0","0","0","0","5","0","10","0","24","0","40","0","20","0","20","0","22","0","24","0","20","0","33","0","31","0","32","0","9","0","7","0","5","0","14","0","4","0","0","0","0","0","0","0","20241203"
"202411","3호선","학여울","4","0","651","221","2090","2159","5050","3466","5165","8881","3872","7205","3421","5875","4007","5052","4782","5588","5178","6734","5767","5540","6744","4931","8834","4142","9618","4585","7841","5123","2715","3817","2000","2712","1703","2415","983","1962","239","1212","37","381","0","5","0","1","0","0","20241203"
"202411","3호선","홍제","110","5","10757","1472","24117","7612","66295","10957","73190","26625","47900","22812","33700","21053","31074","20206","33345","21581","30758","23172","28396","26911","29676","32110","32260","37909","33024","48952","29346","65473","15915","53277","12344","33112","9741","29466","7474","24505","2872","14955","444","3888","1","7","1","1","0","0","20241203"
"202411","4호선","길음","25","3","11264","1640","34753","7940","89820","15391","93880","37417","55021","28605","36997","25680","32929","28400","33971","26540","32245","30153","30524","32204","33441","34735","39245","45605","39544","60015","37933","84101","19521","64853","15790","40900","12638","38954","11948","36059","4511","20637","754","5863","0","31","0","0","0","0","20241203"
"202411","4호선","남태령","20","0","652","69","1003","2165","2562","5586","3832","6061","2905","2504","2402","1412","2431","1204","2484","1538","2148","1453","2461","1518","2650","1667","4166","1997","5816","1987","4532","1923","1805","1631","1192","1499","794","1137","447","1037","158","561","20","175","1","2","0","0","0","0","20241203"
"202411","4호선","노원","271","3","13759","758","25040","9520","56417","15294","61789","37343","38374","36852","31333","28395","31539","29069","35393","33093","34623","37504","34999","35731","36705","40743","39862","50323","40937","66521","39513","93609","28454","70920","29991","42672","28217","36783","24474","32738","11520","21797","2602","7432","18","818","0","0","0","0","20241203"
"202411","4호선","당고개","113","0","9034","41","17503","4705","45892","6740","39032","10895","24662","10676","17903","9409","16093","9546","16255","9949","15646","11243","13748","12241","13704","14626","14665","17445","13686","20749","12512","28543","7482","24885","5192","17501","4534","16028","2999","14507","1708","10269","371","3582","1","428","0","0","0","0","20241203"
"202411","4호선","동대문","248","6","4767","2365","3259","14761","5160","32487","7890","64061","13376","65541","19259","60361","25668","52772","32085","48234","38464","44926","48375","42709","57256","36488","71089","29410","87687","24416","59945","22191","34394","21457","26530","15293","25322","11521","19149","7886","8708","5885","1559","1658","1","143","0","0","0","0","20241203"
"202411","4호선","동대문역사문화공원(DDP)","342","4","6701","1549","5182","13601","9408","29835","15384","66867","19596","43710","20606","33755","22686","31100","24795","30267","27733","30009","34876","30355","43208","28419","51276","27656","70790","29848","82845","32196","48685","31694","39373","21850","36501","18694","30136","15331","15509","10419","2850","3224","5","188","0","0","0","0","20241203"
"202411","4호선","동작(현충원)","7","1","209","279","606","2757","1996","2844","2576","5426","2191","3491","1752","3133","2561","2478","2406","2743","2488","3344","2742","3248","3902","3017","5011","3001","5881","3255","5199","3451","2301","2450","2190","2426","1868","1101","1205","845","516","590","113","377","0","95","0","0","0","0","20241203"
"202411","4호선","명동","44","0","1892","1466","4132","25061","9020","55355","18160","136749","33474","111025","38825","75688","45264","76171","46133","80314","52010","80742","64364","75651","84257","79333","100951","83119","113090","89809","153183","85616","95980","64149","92654","46407","87307","32244","78072","18581","31939","9904","2282","3081","0","142","0","0","0","0","20241203"
"202411","4호선","미아(서울사이버대학)","25","1","12322","1607","21023","6008","48892","16532","55518","40899","35842","23567","28045","18347","26234","20887","27943","18626","26239","21001","26278","23611","25618","28312","31185","31604","31948","38362","31578","49138","18117","39844","12331","25192","11768","22905","8308","19832","2866","13382","417","3643","0","53","0","0","0","0","20241203"
